family_name	BigTree_ML	BigTree_ME	BigTree_ML_no_ref	BigTree_ME_no_ref	Supermatrix_ML	Supermatrix_ME	Supertree_ML	Supertree_ME
PF00004	270199	6068	255189	4503	86700	1836	162500	6930
PF00019	253500	8177	182352	6407	56934	776	105200	6583
PF00022	374593	5305	312938	3840	59800	1696	130845	5762
PF00025	272397	5769	250499	5490	77600	1762	146700	6593
PF00041	201700	5433	147754	5051	44247	756	65700	6320
PF00059	285239	5371	265096	4533	51100	1210	78900	1465
PF00061	185866	4848	173916	3392	37604	897	63000	6856
PF00092	170741	3669	126673	2687	20800	1370	41800	1474
PF00102	247656	4684	221431	3268	26361	942	64961	1048
PF00104	393445	7772	304864	5479	80200	1414	168000	2258
PF00106	633418	6233	464099	4441	76100	1295	156700	1676
PF00122	175752	3562	122001	2973	16100	1765	44400	1222
PF00134	323600	6351	254400	5131	48547	852	83800	7306
PF00167	108928	4321	79431	3772	13284	947	41384	1016
PF00168	809707	10592	609994	8462	146935	1153	236600	2061
PF00178	127683	5521	98338	4059	24686	863	52500	7057
PF00179	113936	3787	103793	3244	14000	1125	39785	1115
PF00250	120457	5679	80905	4094	15219	701	47371	1763
PF00307	122983	4123	103358	3300	23556	828	42700	1867
PF00373	442449	6866	365407	4902	49000	1325	136200	6552
PF00531	96900	4604	86312	3894	15500	2715	28600	3339
PF00566	318870	5774	263997	4533	77600	2748	110200	4248
PF00595	207528	8180	196701	6300	56400	2779	113500	4046
PF00615	164786	4827	137104	3837	30300	1768	70300	2184
PF00620	273020	6381	213795	5244	66739	851	110478	1702
PF00621	344946	5755	268437	5085	52500	1199	114200	1286
PF00622	376107	7715	325004	5801	134714	866	146000	2812
PF00640	136452	4031	114449	2639	18310	708	43000	6546
PF00777	282534	3604	238599	2703	34900	1787	66300	1494
PF00782	185668	4865	120816	3794	31942	627	63900	6329
PF00787	401670	7872	366703	6003	81700	1858	140400	1854
PF00788	105839	3884	97388	3697	15400	1157	34100	1351
PF00822	442619	7058	354108	6504	101553	731	158900	7072
PF01392	128500	5052	80848	2931	18641	1006	43200	1642
PF01412	126299	4427	98937	3506	19200	1762	31700	990
PF01421	263100	4964	225366	3439	39400	1241	83500	2561
PF02214	234485	8758	199589	8081	54093	1013	128800	2703
PF02931	448101	8346	417867	7263	104681	893	182500	1884
PF07679	173200	4835	137730	4268	27835	705	67600	1150
PF08205	97831	3311	83145	3378	12396	845	25553	5804
PF12796	360700	8734	401099	6670	77680	857	161541	1412
