swap_species	2	3	4	5	6	7	8	9	10	15
1	0.239 ± 0.143	0.236 ± 0.143	0.236 ± 0.145	0.238 ± 0.146	0.238 ± 0.146	0.238 ± 0.141	0.238 ± 0.137	0.244 ± 0.142	0.239 ± 0.14	NA
2	0.238 ± 0.143	0.236 ± 0.146	0.229 ± 0.141	0.243 ± 0.143	0.247 ± 0.149	0.238 ± 0.142	0.246 ± 0.146	0.237 ± 0.143	0.236 ± 0.138	NA
3	0.238 ± 0.143	0.236 ± 0.139	0.238 ± 0.147	0.243 ± 0.142	0.239 ± 0.141	0.243 ± 0.142	0.239 ± 0.15	0.239 ± 0.148	0.24 ± 0.137	NA
4	0.238 ± 0.148	0.238 ± 0.142	0.239 ± 0.137	0.247 ± 0.143	0.233 ± 0.145	0.251 ± 0.142	0.235 ± 0.138	0.243 ± 0.149	0.238 ± 0.139	NA
5	0.238 ± 0.14	0.227 ± 0.139	0.238 ± 0.14	0.243 ± 0.144	0.237 ± 0.148	0.244 ± 0.143	0.24 ± 0.141	0.235 ± 0.144	0.242 ± 0.138	NA
6	0.231 ± 0.144	0.229 ± 0.149	0.244 ± 0.143	0.244 ± 0.142	0.235 ± 0.147	0.245 ± 0.145	0.24 ± 0.146	0.24 ± 0.147	0.25 ± 0.14	NA
7	0.238 ± 0.143	0.244 ± 0.142	0.243 ± 0.14	0.237 ± 0.148	0.234 ± 0.14	0.248 ± 0.149	0.248 ± 0.136	0.243 ± 0.145	0.24 ± 0.143	NA
8	0.241 ± 0.138	0.247 ± 0.132	0.251 ± 0.139	0.243 ± 0.14	0.243 ± 0.144	0.245 ± 0.141	0.257 ± 0.146	0.252 ± 0.139	0.253 ± 0.136	NA
9	0.238 ± 0.139	0.25 ± 0.141	0.245 ± 0.132	0.251 ± 0.139	0.259 ± 0.148	0.248 ± 0.135	0.25 ± 0.136	0.252 ± 0.139	0.243 ± 0.144	NA
10	0.242 ± 0.142	0.252 ± 0.137	0.244 ± 0.144	0.245 ± 0.148	0.239 ± 0.142	0.238 ± 0.151	0.246 ± 0.13	0.25 ± 0.144	0.252 ± 0.131	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	0.544 ± 0.167	NA
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.968 ± 0.051
